                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9337,                 2.2427,                 1.7853,                0.27004,                0.25406,                0.18082,                0.06415,                 2.1355,                 2.5373,                 2.0151,              0.0014855,              0.0014855,              0.0014855
                     36,                 1.9353,                 2.2489,                 1.7971,                0.25686,                0.26171,                0.18518,                0.06864,                 2.1543,                  2.556,                 1.9926,                0.00148,                0.00148,                0.00148
                     37,                 1.9329,                  2.217,                 1.7759,                 0.2757,                0.26154,                0.18288,                0.06629,                 2.1728,                 2.5006,                 2.0203,              0.0014745,              0.0014745,              0.0014745
                     38,                 1.9286,                  2.204,                 1.7772,                0.24672,                0.24627,                0.18622,                0.06953,                 2.2022,                 2.5095,                 2.0035,               0.001469,               0.001469,               0.001469
                     39,                 1.9197,                 2.1903,                 1.7628,                0.26225,                0.25516,                0.17766,                0.06626,                 2.2005,                 2.6139,                 2.0178,              0.0014635,              0.0014635,              0.0014635
                     40,                 1.8924,                 2.1854,                 1.7558,                0.26308,                0.27229,                0.18333,                0.06782,                 2.1893,                 2.5036,                 1.9707,               0.001458,               0.001458,               0.001458
                     41,                 1.9232,                 2.1912,                 1.7618,                0.26223,                0.26721,                0.19501,                0.06921,                 2.1989,                 2.5134,                  2.015,              0.0014525,              0.0014525,              0.0014525
                     42,                  1.899,                 2.1728,                 1.7626,                0.26377,                0.24928,                0.17898,                0.06458,                 2.2196,                 2.5894,                 2.0127,               0.001447,               0.001447,               0.001447
                     43,                 1.8993,                 2.1784,                 1.7616,                0.26051,                0.24136,                0.17943,                0.06378,                 2.2339,                 2.5792,                 2.0634,              0.0014415,              0.0014415,              0.0014415
                     44,                 1.9058,                 2.1545,                 1.7558,                0.24851,                0.29517,                0.18892,                0.07044,                 2.1755,                 2.5584,                 1.9998,               0.001436,               0.001436,               0.001436
                     45,                 1.8829,                 2.1251,                 1.7402,                0.24272,                0.28294,                 0.1858,                0.06919,                 2.1993,                 2.5751,                 2.0231,              0.0014305,              0.0014305,              0.0014305
                     46,                 1.8925,                 2.1303,                 1.7306,                0.24024,                0.25446,                0.17683,                0.06391,                 2.2268,                 2.6263,                 2.0371,               0.001425,               0.001425,               0.001425
                     47,                  1.881,                 2.1098,                 1.7291,                0.31648,                0.23752,                0.19701,                 0.0697,                 2.2182,                 2.5588,                 2.0273,              0.0014195,              0.0014195,              0.0014195
                     48,                 1.9007,                 2.1082,                 1.7383,                0.23422,                 0.2279,                0.16181,                0.05818,                 2.2626,                 2.6806,                 2.0612,              0.0014139,              0.0014139,              0.0014139
                     49,                 1.8781,                 2.1143,                 1.7315,                0.26549,                0.25307,                0.18652,                0.06519,                 2.2242,                 2.5074,                 2.0353,              0.0014084,              0.0014084,              0.0014084
                     50,                 1.8865,                  2.082,                 1.7354,                0.26191,                0.29121,                0.19773,                0.07053,                 2.2004,                 2.4812,                 2.0173,              0.0014029,              0.0014029,              0.0014029
                     51,                 1.8529,                 2.0574,                  1.709,                 0.2671,                0.26684,                 0.1848,                0.06751,                  2.196,                 2.5235,                 2.0253,              0.0013974,              0.0013974,              0.0013974
                     52,                 1.8801,                 2.0786,                  1.725,                0.21931,                 0.2558,                0.16667,                0.05632,                 2.2553,                 2.5713,                 2.0339,              0.0013919,              0.0013919,              0.0013919
                     53,                 1.8512,                 2.0595,                 1.7134,                0.24144,                0.29241,                0.17878,                0.06461,                 2.2095,                 2.4832,                 2.0238,              0.0013864,              0.0013864,              0.0013864
                     54,                 1.8368,                 2.0336,                 1.6953,                0.25423,                0.26535,                0.18025,                0.06374,                 2.2284,                 2.6031,                 2.0725,              0.0013809,              0.0013809,              0.0013809
                     55,                 1.8498,                 2.0213,                  1.697,                0.23821,                0.25882,                0.17686,                0.06305,                 2.2073,                 2.5505,                 2.0659,              0.0013754,              0.0013754,              0.0013754
