                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.82804,                0.81959,                 1.2919,                0.64828,                0.78588,                0.89915,                0.66727,                 1.4079,                  1.139,                 1.3613,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.66018,                0.88054,                 1.2643,                0.64828,                0.78588,                0.89915,                0.66727,                 1.4079,                  1.139,                 1.3613,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.67574,                 1.0493,                 1.0577,                 0.6487,                    0.8,                0.92024,                0.67186,                 1.4401,                 1.1997,                 1.3846,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.50268,                0.77395,                0.99771,                 0.6487,                    0.8,                0.92024,                0.67186,                 1.4401,                 1.1997,                 1.3846,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.64339,                0.73757,                 1.0633,                0.97648,                0.52129,                0.91925,                0.66337,                 1.4264,                 1.2201,                 1.3612,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 0.7758,                0.85276,                 1.1906,                0.97648,                0.52129,                0.91925,                0.66337,                 1.4264,                 1.2201,                 1.3612,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.3495,                 1.2198,                 1.6987,                0.97265,                0.52133,                0.91767,                0.66233,                  1.428,                 1.2123,                  1.358,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.83686,                0.97013,                 1.1903,                0.97265,                0.52133,                0.91767,                0.66233,                  1.428,                 1.2123,                  1.358,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.83432,                0.76479,                 1.1493,                0.92007,                0.55464,                0.91712,                0.66206,                 1.4408,                 1.2569,                 1.3646,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.67048,                0.82994,                 1.1515,                0.92007,                0.55464,                0.91712,                0.66206,                 1.4408,                 1.2569,                 1.3646,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.92503,                0.76657,                 1.2425,                0.92325,                0.55418,                0.91655,                0.66198,                 1.4483,                 1.2673,                 1.3653,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.63009,                0.63541,                 1.1369,                0.92325,                0.55418,                0.91655,                0.66198,                 1.4483,                 1.2673,                 1.3653,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.72862,                  1.116,                 1.2592,                 0.9256,                0.55406,                0.80987,                  0.582,                 1.4536,                  1.256,                 1.3606,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.82187,                0.69228,                 1.3495,                 0.9256,                0.55406,                0.80987,                  0.582,                 1.4536,                  1.256,                 1.3606,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.60482,                0.80675,                 1.0115,                0.92587,                0.55276,                0.80919,                0.58232,                 1.4554,                 1.2514,                 1.3558,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.73846,                0.76846,                 1.2389,                0.92587,                0.55276,                0.80919,                0.58232,                 1.4554,                 1.2514,                 1.3558,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.67048,                0.60293,                  1.138,                0.90653,                 0.5458,                0.79419,                0.56953,                 1.4547,                 1.2621,                 1.3575,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.88049,                 0.5349,                 1.3257,                0.90653,                 0.5458,                0.79419,                0.56953,                 1.4547,                 1.2621,                 1.3575,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.76005,                0.81523,                 1.1347,                0.90856,                0.54555,                0.79378,                0.56863,                 1.4798,                 1.2895,                 1.3653,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.77226,                0.94061,                 1.1638,                0.90856,                0.54555,                0.79378,                0.56863,                 1.4798,                 1.2895,                 1.3653,             3.0048e-05,             3.0048e-05,             3.0048e-05
